Query,Singlequotes,Doublequotes,Punctuations,1-linecmt,Mulline-cmt,Spaces,Safekywrd,Harmflkywrd,Percentages,Log_oprtr,Operator,Nulls,Hex-dec,Db_info,Roles,Ntwr_cmds,Lang_cmds,Alphabets,Digits,Spl_char,Label
DELETE FROM at,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0
SELECT * FROM sky WHERE bar IN  ( SELECT asleep FROM balloon ) ,0,0,2,0,0,13,4,2,0,2,3,0,0,0,0,1,2,46,0,0,0
SELECT * FROM flower WHERE mail IN  ( SELECT source FROM these ) ,0,0,2,0,0,13,3,0,0,1,2,0,0,0,0,0,2,48,0,0,0
anz1@hiperbilbao.fj,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0
orea,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0
"etorbidea askatasuna 170, 8?a",0,0,2,0,0,4,1,2,0,1,1,0,0,0,0,0,0,20,4,0,0
5.7678E+14,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0
5192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
cheyenne,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
SELECT * FROM tightly FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM zulu,0,0,0,0,0,15,2,0,0,0,2,0,0,0,0,0,2,59,3,0,0
SELECT AVG ( object ) FROM beginning SELECT SUM ( pick ) ,0,0,4,0,0,12,4,0,0,2,2,0,0,0,0,0,2,41,0,0,0
hau,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"  SELECT damageID AS ID, fact AS wherever FROM wolf",0,0,1,0,0,9,1,2,0,0,0,0,0,0,0,0,1,40,0,0,0
SELECT wp_posts.* FROM wp_posts WHERE ID IN  ( 367581 ) ,0,0,3,0,0,10,2,0,0,1,2,0,0,0,0,0,1,33,6,0,0
"  SELECT TIMEDIFF ( ""2017-06-25 13:10:11"", ""2017-06-15 13:10:10"" ) ;",0,4,16,0,0,9,1,0,0,0,4,0,0,0,0,0,1,14,28,4,0
 UPDATE drink SET ability = 'court'WHERE twice = 'union',4,0,4,0,0,9,6,0,0,1,3,0,0,0,0,0,1,41,0,4,0
"   SELECT suppose, direction, nor FROM game WHERE president  IS NULL",0,0,2,0,0,10,2,0,0,1,1,1,0,0,0,0,1,53,0,0,0
"  SELECT bite AS born, trace AS [to]  FROM speed",0,0,3,0,0,9,2,2,0,1,1,0,0,0,0,0,1,34,0,0,0
lanae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
lanfranchi@getgold.tl,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"  SELECT tape,piano,fed FROM sale LEFT JOIN Orders ON pair.particularlyID =  arm.poem ORDER BY changing.think",0,0,5,0,0,14,8,0,0,5,6,0,0,0,0,0,1,87,0,0,0
SELECT * FROM open WHERE throughout = 'fought'  AND City = 'me',4,0,4,0,0,12,2,0,0,2,5,0,0,0,0,0,1,44,0,4,0
"  SELECT important AS add, particular AS [into]  FROM dull",0,0,3,0,0,9,3,2,0,2,2,0,0,0,0,0,1,44,0,0,0
SELECT damage ( s )  FROM during FULL OUTER JOIN,0,0,2,0,0,10,4,0,0,2,2,0,0,0,0,0,1,36,0,0,0
21468433a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
"sierra bermeja s/n,",0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0
SELECT * FROM construction WHERE production BETWEEN '1996-07-01' AND '1996-07-31',4,0,8,0,0,10,2,0,0,3,8,0,0,0,0,0,1,47,16,4,0
"  SELECT * FROM ball WHERE feel NOT IN  ( 'share', 'each', 'baseball' )  ",6,0,10,0,0,13,4,1,0,4,5,0,0,0,0,0,1,45,0,6,0
FROM  ( SELECT DISTINCT ancient FROM band ) ,0,0,2,0,0,8,3,0,0,3,3,0,0,0,0,0,1,33,0,0,0
SELECT * FROM made WHERE who = 'private'  OR driven = 'upper',4,0,4,0,0,12,2,0,0,1,4,0,0,0,0,0,1,42,0,4,0
c/ marquesa de vilallonga 53 5f,0,0,0,0,0,6,1,0,0,1,2,0,0,0,0,0,0,22,3,0,0
SELECT make ( s ) FROM court INNER JOIN,0,0,2,0,0,9,4,0,0,2,2,0,0,0,0,0,1,29,0,0,0
SELECT hurried ( s ) FROM saw INNER JOIN,0,0,2,0,0,9,4,0,0,2,2,0,0,0,0,0,1,30,0,0,0
SELECT * FROM place WHERE finest = 'essential' LIMIT 3,2,0,2,0,0,10,2,0,0,1,3,0,0,0,0,0,1,40,1,2,0
8.99091E+15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0
SELECT * FROM glass WHERE mud  BETWEEN 10 AND 20,0,0,0,0,0,10,2,1,0,3,4,0,0,0,0,0,1,33,4,0,0
8352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
begues,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
genestar llufriu,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
SELECT tone ( s )  FROM frog,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,19,0,0,0
yihban,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"SELECT * FROM mouth WHERE teach BETWEEN ""wish"" AND    ""pick""",0,4,4,0,0,10,2,0,0,3,4,0,0,0,0,0,1,43,0,4,0
"   SELECT COUNT ( rice ) , lungs FROM laid BY include",0,0,3,0,0,11,2,0,0,1,1,0,0,0,0,0,1,37,0,0,0
" SELECT * FROM military ORDER BY lower, courage",0,0,1,0,0,8,3,0,0,1,2,0,0,0,0,0,1,37,0,0,0
SELECT * FROM Books,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,15,0,0,0
suwanawo5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
gurica4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
"  SELECT Orders.roserID, Employees.bad, Employees.hot FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.troubleID ORDER BY Orders.necessaryID",0,0,8,0,0,15,9,0,0,6,7,0,0,0,0,0,1,131,0,0,0
"calle pinos los 128,",0,0,1,0,0,4,2,1,0,2,2,0,0,0,0,0,1,13,3,0,0
SELECT COUNT ( imagine ) FROM begun,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,27,0,0,0
26033,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
928,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
SELECT MIN ( biggest )  AS mind FROM calm,0,0,2,0,0,9,3,1,0,2,2,0,0,0,0,0,1,30,0,0,0
SELECT COUNT ( flies ) FROM whispered,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,29,0,0,0
02877417w,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
2.4082E+15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0
4170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
6.29894E+15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0
SELECT TOP 50 PERCENT * FROM prepare,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,1,27,2,0,0
"urbanitzacio europa-fuentes de san bernabe s/n,",0,0,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,39,0,0,0
SELECT * FROM thick FETCH FIRST 3 ROWS ONLY,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,1,33,1,0,0
SELECT * FROM hunt WHERE ruler NOT LIKE 'thirty%',2,0,2,0,0,9,2,0,1,2,4,0,0,0,0,0,1,37,0,2,0
SELECT laugh ( s )  FROM earth,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,21,0,0,0
SELECT * FROM hour WHERE fact = 'studying',2,0,2,0,0,8,2,0,0,1,3,0,0,0,0,0,1,31,0,2,0
2865,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
SELECT AVG ( Price ) FROM deal,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,22,0,0,0
"  SELECT Orders.towerrID, Employees.them, Employees.its FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.exactlyID ORDER BY Orders.valleyID",0,0,8,0,0,15,10,0,0,7,8,0,0,0,0,0,1,130,0,0,0
condal talero,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
SELECT * FROM captured WHERE    NOT feathers = 'mountain',2,0,2,0,0,9,2,0,0,2,4,0,0,0,0,0,1,42,0,2,0
34112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SELECT * FROM promised FETCH FIRST 3 ROWS ONLY,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,1,36,1,0,0
SELECT * FROM melted WHERE Price NOT BETWEEN 10 AND 20,0,0,0,0,0,11,2,0,0,4,5,0,0,0,0,0,1,39,4,0,0
SELECT * FROM willing WHERE fall = 'track' LIMIT 3,2,0,2,0,0,10,3,0,0,2,4,0,0,0,0,0,1,36,1,2,0
DELETE FROM coat WHERE won = 'driving',2,0,2,0,0,7,1,1,0,1,2,0,0,0,0,0,1,29,0,2,0
SELECT * FROM electricity WHERE street NOT BETWEEN 'kitchen' AND 'made',4,0,4,0,0,11,2,0,0,4,5,0,0,0,0,0,1,56,0,4,0
ridgeley_fechner@beesmer.ye,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 31078 )  ORDER BY meta_id ASC",0,0,4,0,0,16,5,1,0,2,2,0,0,0,0,0,1,71,5,0,0
" SELECT * FROM human ORDER BY social ASC, exercise DESC",0,0,1,0,0,10,5,1,0,1,2,0,0,0,0,0,1,43,0,0,0
37188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SELECT COUNT ( spoken )  FROM explanation,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,32,0,0,0
SELECT COUNT ( DISTINCT swim )  FROM anything,0,0,2,0,0,8,4,0,0,3,3,0,0,0,0,0,1,35,0,0,0
SELECT AVG ( camera )  FROM apart  SELECT SUM ( thick ) ,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,38,0,0,0
jamaal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
4350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
SELECT option_value FROM wp_options WHERE option_name  =  '_houzez_property_status_3175' LIMIT 1,2,0,2,0,0,10,1,0,0,0,1,0,0,0,0,0,1,70,5,2,0
luesia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
SELECT * FROM hidden WHERE doubt = 'fun'  AND City = 'furniture',4,0,4,0,0,12,2,0,0,2,5,0,0,0,0,0,1,45,0,4,0
SELECT * FROM key WHERE Price NOT BETWEEN 10 AND 20,0,0,0,0,0,11,2,0,0,4,5,0,0,0,0,0,1,36,4,0,0
riento@maison-cadaques.gd,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0
5695,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
SELECT * FROM shout WHERE flame BETWEEN '1996-07-01' AND '1996-07-31',4,0,8,0,0,10,2,0,0,3,8,0,0,0,0,0,1,35,16,4,0
"calle venus, 81 2-a",0,0,2,0,0,4,1,1,0,1,2,0,0,0,0,0,1,11,3,0,0
SELECT * FROM hill WHERE mother = 'firm'  AND City = 'ate',4,0,4,0,0,12,2,0,0,2,5,0,0,0,0,0,1,39,0,4,0
2.22584E+14,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0
"plaa verdum 144,",0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0
SELECT * FROM dangerous WHERE tears = 'sure' FETCH FIRST 3 ROWS ONLY,2,0,2,0,0,13,1,0,0,0,2,0,0,0,0,0,1,51,1,2,0
 UPDATE noun SET else = 'negative'WHERE late = 'audience',4,0,4,0,0,9,3,0,0,0,2,0,0,0,0,0,1,42,0,4,0
22997473a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
SELECT * FROM  ( SELECT gradually FROM sharp ) ,0,0,2,0,0,9,3,0,0,1,2,0,0,0,0,0,2,34,0,0,0
srdida.me3te,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0
SELECT * FROM powder WHERE NOT brown = 'not'  AND NOT pond = 'soil',4,0,4,0,0,14,2,0,0,5,8,0,0,0,0,0,1,46,0,4,0
"  SELECT * FROM pink WHERE good NOT IN  ( 'keep', 'parts', 'island' )  ",6,0,10,0,0,13,4,0,0,5,6,0,0,0,0,0,1,43,0,6,0
9.48E+15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0
3m6noja4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
SELECT although FROM order UNION SELECT over FROM single ORDER BY third,0,0,0,0,0,12,8,0,0,3,3,0,0,0,0,0,2,60,0,0,0
SELECT COUNT ( DISTINCT national )  FROM good,0,0,2,0,0,8,2,0,0,1,1,0,0,0,0,0,1,35,0,0,0
SELECT form ( s )  FROM grown,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,20,0,0,0
"calle practicante calixto rodriguez 163,",0,0,1,0,0,5,1,1,0,1,1,0,0,0,0,0,1,32,3,0,0
SELECT * FROM quietly ORDER BY air,0,0,0,0,0,7,3,0,0,1,2,0,0,0,0,0,1,27,0,0,0
benidoleig,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
SELECT Count ( * )  AS shells,0,0,2,0,0,7,1,1,0,0,1,0,0,0,0,0,1,19,0,0,0
"SELECT wp_posts.* FROM wp_posts WHERE 1 = 1 AND wp_posts.ID IN  ( 28561,30220,30322,30380,30384,30387,30390,80777,80779,80780,80782,228217,262315,262317,290065,291072,299804,299806,299807,299808,320706,367678,367679,367680,367681,367682,367683,367684,367685,367686 )  AND wp_posts.post_type  =  'nav_menu_item' AND   (  (  wp_posts.post_status  =  'publish'  )  )   ORDER BY wp_posts.menu_order ASC",4,0,44,0,0,30,9,1,0,9,13,0,0,0,0,0,1,125,171,4,0
SELECT * FROM biggest,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,17,0,0,0
SELECT AVG ( stop ) FROM crack SELECT SUM ( essential ) ,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,40,0,0,0
SELECT TOP 3 * FROM care WHERE figure = 'fastened',2,0,2,0,0,10,1,1,0,0,2,0,0,0,0,0,1,36,1,2,0
"  UPDATE directly SET kept =  'sold', City =  'out' WHERE fell =  baby",4,0,5,0,0,13,3,0,0,0,3,0,0,0,0,0,1,45,0,4,0
madrigal puigb,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
deiadrel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"INSERT INTO safety ( swam, alphabet, bean, character, blood, tree )  VALUES  ( 'pass', 'dropped'. verb', 'chapter', 'important', 'way', 'zebra' )  ",13,0,28,0,0,21,4,3,0,3,3,0,0,0,0,0,2,95,0,13,0
fiset,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0
SELECT * FROM any  WHERE brother NOT LIKE '[roll]%',2,0,4,0,0,9,3,0,1,3,5,0,0,0,0,0,1,36,0,2,0
97925933y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
nealson,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
SELECT * FROM habit,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,15,0,0,0
SELECT COUNT ( map ) FROM buy,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,21,0,0,0
SELECT * FROM warn FETCH FIRST 50 PERCENT ROWS ONLY,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,39,2,0,0
84881293t,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
SELECT * FROM film WHERE worse  BETWEEN 10 AND 20,0,0,0,0,0,10,3,0,0,4,5,0,0,0,0,0,1,34,4,0,0
34964894h,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
SELECT AVG ( Price ) FROM quiet,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,23,0,0,0
" SELECT * FROM log ORDER BY shadow ASC, season DESC",0,0,1,0,0,10,5,2,0,1,2,0,0,0,0,0,1,39,0,0,0
modorrillo,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,10,0,0,0
SELECT characteristic ( s )  FROM hello,0,0,2,0,0,7,1,1,0,0,0,0,0,0,0,0,1,30,0,0,0
SELECT * FROM sitting FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM wing,0,0,0,0,0,16,4,0,0,2,4,0,0,0,0,0,2,59,3,0,0
"   SELECT COUNT ( near ) , light FROM whose BY person",0,0,3,0,0,11,1,0,0,0,0,0,0,0,0,0,1,37,0,0,0
inmol4dor,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,8,1,0,0
SELECT AVG ( task ) FROM evening SELECT SUM ( heart ) ,0,0,4,0,0,12,3,1,0,1,1,0,0,0,0,0,2,38,0,0,0
SELECT * FROM if 3 SELECT * FROM tropical,0,0,0,0,0,9,2,0,0,0,2,0,0,0,0,0,2,30,1,0,0
"   SELECT shine,further,well,decide,older     (  (  curious JOIN dried ON definition.product =  during.mice )   INNER JOIN motherON Orders.east =  slabs.jarID ) ",0,0,12,0,0,19,10,2,0,7,9,0,0,0,0,0,1,115,0,0,0
cruz,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
jarad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
SELECT * FROM kill FETCH FIRST 3 ROWS ONLY,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,1,32,1,0,0
SELECT * FROM sale WHERE forget = 'first',2,0,2,0,0,8,2,0,0,1,3,0,0,0,0,0,1,30,0,2,0
79039106c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
roldan@intelethernet.gl,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,21,0,0,0
SELECT * FROM three ORDER BY dozen DESC,0,0,0,0,0,8,4,0,0,1,2,0,0,0,0,0,1,31,0,0,0
cebuano,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
reith,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
9.15202E+15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0
cibeles,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
SELECT TOP 50 PERCENT * FROM no,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,1,22,2,0,0
25500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SELECT AVG ( community )  FROM supper  SELECT SUM ( spring ) ,0,0,4,0,0,12,3,0,0,1,1,0,0,0,0,0,2,43,0,0,0
pingajosa,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,9,0,0,0
SELECT * FROM whenever,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,18,0,0,0
SELECT * FROM came WHERE green = 'quickly'  OR matter = 'deal',4,0,4,0,0,12,2,0,0,1,4,0,0,0,0,0,1,43,0,4,0
SELECT * FROM question WHERE car = 'yard' FETCH FIRST 3 ROWS ONLY,2,0,2,0,0,13,1,0,0,0,2,0,0,0,0,0,1,48,1,2,0
SELECT * FROM gone WHERE around = 'bear' LIMIT 3,2,0,2,0,0,10,1,0,0,0,2,0,0,0,0,0,1,34,1,2,0
spnola ballado,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,13,0,0,0
" SELECT column_name ( s )  FROM give,two",0,0,3,0,0,7,1,0,0,0,0,0,0,0,0,0,1,28,0,0,0
SELECT * FROM bone WHERE blue = 'situation' FETCH FIRST 3 ROWS ONLY,2,0,2,0,0,13,1,0,0,0,2,0,0,0,0,0,1,50,1,2,0
"INSERT INTO daughter ( star, star, attached, water, thing, press )  VALUES  ( 'brown', 'lovely'. breath', 'throat', 'planet', 'drink', 'fourth' )  ",13,0,28,0,0,21,5,0,0,4,4,0,0,0,0,0,1,95,0,13,0
SELECT COUNT ( gray )  FROM stems,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,24,0,0,0
25g0a00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
5.01119E+15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0
"ronda bellesguard 125, 11?c",0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0
SELECT AVG ( kitchen ) FROM palace SELECT SUM ( darkness ) ,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,43,0,0,0
SELECT * FROM ear WHERE through NOT LIKE 'sky%',2,0,2,0,0,9,2,0,1,2,4,0,0,0,0,0,1,35,0,2,0
SELECT * FROM feathers,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,18,0,0,0
"  SELECT * FROM baby WHERE our IN  ( 'grown', 'single', 'examine' )  ",6,0,10,0,0,12,4,0,0,3,4,0,0,0,0,0,1,42,0,6,0
ballonga,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,8,0,0,0
cryoelec,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
92793320g,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
SELECT * FROM fog  WHERE separate = able,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,1,30,0,0,0
"   SELECT contrast, men+ ', ' + family+ ' ' + ourselves+ ', ' + thy AS applied  FROM chest",6,0,9,0,0,19,1,2,0,0,6,0,0,0,0,0,1,53,0,6,0
SELECT * FROM spite FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM describe,0,0,0,0,0,16,3,0,0,0,2,0,0,0,0,0,2,61,3,0,0
antonio ulloa 6 6?d,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0
SELECT * FROM  ( SELECT unit FROM driving ) ,0,0,2,0,0,9,3,0,0,1,2,0,0,0,0,0,2,31,0,0,0
SELECT Count ( * )  AS driver,0,0,2,0,0,7,1,1,0,0,1,0,0,0,0,0,1,19,0,0,0
SELECT * FROM themselves 3 SELECT * FROM card,0,0,0,0,0,9,2,0,0,0,2,0,0,0,0,0,2,34,1,0,0
53087910t,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
" SELECT * FROM stand ORDER BY equipment, from",0,0,1,0,0,8,4,0,0,3,4,0,0,0,0,0,1,35,0,0,0
DELETE FROM electric WHERE remarkable = 'drew',2,0,2,0,0,7,0,1,0,0,1,0,0,0,0,0,1,37,0,2,0
SELECT TOP 3 * FROM harder WHERE today = 'poet',2,0,2,0,0,10,1,0,0,0,2,0,0,0,0,0,1,33,1,2,0
"   SELECT instrument, month+ ', ' + brought+ ' ' + rest+ ', ' + yourself AS slipped  FROM nodded",6,0,9,0,0,19,2,1,0,1,7,0,0,0,0,0,1,59,0,6,0
61877469v,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
patchsqa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"  SELECT * FROM limited WHERE to NOT IN  ( 'struck', 'long', 'machine' )  ",6,0,10,0,0,13,3,0,0,3,4,0,0,0,0,0,1,46,0,6,0
SELECT * FROM sound 3 SELECT * FROM river,0,0,0,0,0,9,2,0,0,0,2,0,0,0,0,0,2,30,1,0,0
SELECT below ( s )  FROM dear UNION,0,0,2,0,0,8,3,0,0,0,0,0,0,0,0,0,1,25,0,0,0
caballol menocal,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,15,0,0,0
42782721f,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
bilal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
SELECT * FROM manufacturing WHERE inside BETWEEN studied09/01/1996kept AND entirely15/31/1996damage,0,0,0,0,0,10,4,0,0,5,10,0,0,0,0,0,1,69,16,0,0
